name,file-type,URL,Vectorized
Section_Table.csv,csv,https://www.sec.gov/files/ctf-memo-nyse-ice-092625.pdf,TRUE
Section_Table.csv,csv,https://www.sec.gov/about/crypto-task-force/crypto-task-force-road,TRUE
Section_Table.csv,csv,https://www.sec.gov/about/crypto-task-force/crypto-task-force-road,TRUE
Section_Table.csv,csv,https://www.sec.gov/enforcement-litigation/whistleblower-program,TRUE
Section_Table.csv,csv,https://www.sec.gov/files/ctf-memo-robinhood-090225.pdf,TRUE
Section_Table.csv,csv,https://www.sec.gov/files/ctf-memeo-alongside-finance-inc-082625.pdf,TRUE
Section_Table.csv,csv,https://www.sec.gov/enforcement-litigation/whistleblower-program,TRUE
Section_Table.csv,csv,https://www.sec.gov/files/ctf-memo-payward-inc-kraken-securities-llc-wilmer-cutler-pickering-hale-dorr-llp-082525.pdf,TRUE
Section_Table.csv,csv,https://www.sec.gov/about/crypto-task-force/crypto-points-contact-secgov,TRUE
Section_Table.csv,csv,https://www.sec.gov/enforcement-litigation/whistleblower-program,TRUE
Section_Table.csv,csv,https://www.sec.gov/enforcement-litigation/whistleblower-program,TRUE
Section_Table.csv,csv,https://www.sec.gov/forms/corp_fin_interpretive#no-back,TRUE
Section_Table.csv,csv,https://www.sec.gov/newsroom/videos,TRUE
Section_Table.csv,csv,https://www.sec.gov/files/ctf-memo-citadel-securities-072225.pdf,TRUE
Section_Table.csv,csv,https://www.sec.gov/about/crypto-task-force/crypto-points-contact-secgov,TRUE
Section_Table.csv,csv,https://www.sec.gov/files/ctf-memo-nova-labs-inc-helium-foundation-willkie-farr-gallagher-llp-capitol-core-group-inc-070925.pdf,TRUE
Section_Table.csv,csv,https://www.sec.gov/enforcement-litigation/whistleblower-program,TRUE
Section_Table.csv,csv,https://www.sec.gov/files/ctf-memo-securities-industry-financial-markets-association-cahill-gordon-reindel-llp-070325.pdf,TRUE
Section_Table.csv,csv,https://www.sec.gov/files/ctf-memo-securitize-inc-securitize-markets-llc-panorama-financial-markets-advisory-llc-070225.pdf,TRUE
Section_Table.csv,csv,https://www.sec.gov/about/crypto-task-force/crypto-points-contact-secgov,TRUE
Section_Table.csv,csv,https://www.sec.gov/about/crypto-task-force/crypto-task-force-roundtables,TRUE
Section_Table.csv,csv,https://www.sec.gov/enforcement-litigation/whistleblower-program,TRUE
Section_Table.csv,csv,https://www.sec.gov/files/ctf-memo-nyse-062425.pdf,TRUE
Section_Table.csv,csv,https://www.sec.gov/files/ctf-memo-aave-labs-062425.pdf,TRUE
Section_Table.csv,csv,https://www.sec.gov/about/crypto-task-force/crypto-points-contact-secgov,TRUE
Section_Table.csv,csv,https://www.sec.gov/files/crypto-task-force-designation-letter.pdf,TRUE
Section_Table.csv,csv,https://www.sec.gov/enforcement-litigation/whistleblower-program,TRUE
Section_Table.csv,csv,https://www.sec.gov/about/crypto-task-force/crypto-points-contact-secgov,TRUE
Section_Table.csv,csv,https://www.sec.gov/enforcement-litigation/whistleblower-program,TRUE
Section_Table.csv,csv,https://www.sec.gov/enforcement-litigation/whistleblower-program,TRUE
Section_Table.csv,csv,https://www.sec.gov/enforcement-litigation/whistleblower-program,TRUE
Section_Table.csv,csv,https://www.sec.gov/enforcement-litigation/whistleblower-program,TRUE
Section_Table.csv,csv,https://www.sec.gov/enforcement-litigation/whistleblower-program,TRUE
Section_Table.csv,csv,https://www.sec.gov/about/crypto-task-force/crypto-points-contact-secgov,TRUE
